j ai ans .	i m .
je vais bien .	i m ok .
ca va .	i m ok .
je suis gras .	i m fat .
je suis gros .	i m fat .
je suis en forme .	i m fit .
je suis touche !	i m hit !
je suis touchee !	i m hit !
je suis malade .	i m ill .
je suis triste .	i m sad .
je suis timide .	i m shy .
je suis mouille .	i m wet .
je suis mouillee .	i m wet .
il est mouille .	he s wet .
je suis gras .	i am fat .
je suis revenu .	i m back .
me revoila .	i m back .
je suis chauve .	i m bald .
je suis occupe .	i m busy .
je suis occupee .	i m busy .
je suis calme .	i m calm .
j ai froid .	i m cold .
j en ai fini .	i m done .
tout va bien .	i m fine .
je vais bien .	i m fine .
ca va .	i m fine .
je suis libre !	i m free !
je suis libre .	i m free .
je suis disponible .	i m free .
je suis repu !	i m full .
je suis rassasie !	i m full .
je suis content .	i m glad .
je suis chez moi .	i m home .
je suis en retard .	i m late .
je suis paresseux .	i m lazy .
je suis faineant .	i m lazy .
je suis paresseuse .	i m lazy .
je suis faineante .	i m lazy .
je vais bien .	i m okay .
je me porte bien .	i m okay .
je suis en securite .	i m safe .
je suis malade .	i m sick .
j en suis certain .	i m sure .
je suis certain .	i m sure .
j en suis sur .	i m sure .
j en suis sure .	i m sure .
je suis grande .	i m tall .
je suis mince .	i m thin .
je suis ordonne .	i m tidy .
je suis ordonnee .	i m tidy .
je suis laid .	i m ugly .
je suis laide .	i m ugly .
je suis faible .	i m weak .
je vais bien .	i m well .
je me porte bien .	i m well .
il est malade .	he is ill .
il est vieux .	he is old .
il est dj .	he s a dj .
il est bon .	he s good .
il est paresseux .	he s lazy .
il est riche .	he s rich .
je suis occupe .	i am busy .
je suis calme .	i am calm .
j ai froid .	i am cold .
je suis bon .	i am good .
je suis ici .	i am here .
je suis paresseux .	i am lazy .
je suis faineant .	i am lazy .
je suis paresseuse .	i am lazy .
je suis faineante .	i am lazy .
je vais bien .	i am okay .
je suis malade .	i am sick .
je suis sur .	i am sure .
je suis certain .	i am sure .
je suis faible .	i am weak .
je suis serieux !	i mean it !
je suis serieux .	i mean it .
je dois y aller .	i must go .
il faut que j y aille .	i must go .
il me faut y aller .	i must go .
il me faut partir .	i must go .
il me faut m en aller .	i must go .
je dois partir .	i must go .
je dois m en aller .	i must go .
il faut que je m en aille .	i must go .
je suis flic .	i m a cop .
je suis un homme .	i m a man .
je suis seule .	i m alone .
je suis seul .	i m alone .
je suis arme .	i m armed .
je suis armee .	i m armed .
je suis reveille .	i m awake .
je suis aveugle .	i m blind .
je suis fauche .	i m broke .
je suis fou .	i m crazy .
je suis folle .	i m crazy .
je suis gueri .	i m cured .
je suis guerie .	i m cured .
je suis saoul .	i m drunk .
je suis soul .	i m drunk .
je suis ivre .	i m drunk .
je me meurs .	i m dying .
je suis en avance .	i m early .
je suis en premier .	i m first .
je suis difficile .	i m fussy .
je suis tatillon .	i m fussy .
je suis tatillonne .	i m fussy .
je pars maintenant .	i m going .
je me tire .	i m going .
j y vais .	i m going .
je pars .	i m going .
je suis loyal .	i m loyal .
je suis loyale .	i m loyal .
je suis veinard .	i m lucky .
je suis veinarde .	i m lucky .
j ai du pot .	i m lucky .
je suis chanceux .	i m lucky .
je suis chanceuse .	i m lucky .
je suis en train de mentir .	i m lying .
je suis tranquille .	i m quiet .
je suis prete !	i m ready !
je suis pret !	i m ready !
je suis pret .	i m ready .
j ai raison .	i m right .
je suis sobre .	i m sober .
excuse moi .	i m sorry .
desole .	i m sorry .
desole !	i m sorry .
je suis desole .	i m sorry .
je suis desolee .	i m sorry .
je suis coincee .	i m stuck .
je suis timide .	i m timid .
je suis fatigue !	i m tired .
je suis dur .	i m tough .
je suis dure .	i m tough .
je suis dur a cuire .	i m tough .
je suis dure a cuire .	i m tough .
je suis a toi .	i m yours .
je suis a vous .	i m yours .
elle est chaude .	she s hot .
elle est tres attirante .	she s hot .
nous avons chaud .	we re hot .
nous sommes tristes .	we re sad .
nous sommes timides .	we re shy .
il est dj .	he is a dj .
il a a faire .	he is busy .
il est ici !	he is here !
il est gentil .	he is kind .
il est en retard .	he is late .
